videoId,title,channelTitle,publishTime,viewCount,likeCount,favoriteCount,commentCount,publishDate
jNeUBWrrRsQ,Data Science Tutorial | Data Science for Beginners | Data Science with Python Tutorial | Simplilearn,Simplilearn,2018-05-04 14:17:48+00:00,181745,2137,0,76,2018-05-04
ua-CiDNNj30,Learn Data Science Tutorial - Full Course for Beginners,freeCodeCamp.org,2019-05-30 12:48:19+00:00,4223842,87210,0,1380,2019-05-30
msvZKOjM0rU,Data Science Live - 1 | Data Science Tutorial For Beginners | Data Science Training | Edureka,edureka!,2020-04-28 07:17:29+00:00,13744,293,0,4,2020-04-28
8eoi2BKaSRE,Data Science Tutorial | Data Science For Beginners | What is Data Science? | Edureka,edureka!,2017-06-16 14:03:06+00:00,61167,364,0,20,2017-06-16
SUsfmh2BSbg,Data Science With Python | Data Science Tutorial | Simplilearn,Simplilearn,2017-07-18 06:55:07+00:00,41941,197,0,3,2017-07-18
u2zsY-2uZiE,Data Science Course for Beginners (11 Hours Data Science Tutorial),Great Learning,2020-02-03 12:56:37+00:00,1006616,29329,0,511,2020-02-03
Lv0xcdeXaGU,Statistics For Data Science | Data Science Tutorial | Simplilearn,Simplilearn,2017-08-28 14:30:01+00:00,343533,5255,0,73,2017-08-28
9R3X0JoCLyU,The Complete Data Science Roadmap,Programming with Mosh,2024-08-01 13:00:08+00:00,583078,17550,0,407,2024-08-01
mkv5mxYu0Wk,Data Science With Python | Python for Data Science | Python Data Science Tutorial | Simplilearn,Simplilearn,2018-05-15 13:40:37+00:00,399125,5566,0,549,2018-05-15
-8YosiAzvx8,Data Science Tutorial for Beginners | Edureka,edureka!,2014-07-21 12:37:49+00:00,10262,16,0,0,2014-07-21
19202eosghk,Data Science Tutorial | Data Science For Beginners | Data Science | Intellipaat,Intellipaat,2022-03-12 17:09:33+00:00,6956,153,0,5,2022-03-12
HrRA67O-QXI,Learn Python AND Data Science in just an hour,Visual Studio Code,2022-11-08 18:45:00+00:00,84625,1946,0,51,2022-11-08
Vfo5le26IhY,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),Great Learning,2019-12-20 07:17:27+00:00,2091705,46897,0,879,2019-12-20
iROHLA_TXQM,R For Data Science Full Course | Data Science With R Full Course |Data Science Tutorial |Simplilearn,Simplilearn,2020-12-17 13:30:02+00:00,117974,2167,0,100,2020-12-17
ku_VGr-NaBc,Data Science Tutorial For Beginners | Introduction to Data Science | Data Science Training | Edureka,edureka!,2020-03-13 14:00:14+00:00,22283,357,0,18,2020-03-13
sTiWTx0ifaM,SQL For Data Science Tutorial | Learn SQL Database For Data Science | Edureka,edureka!,2019-09-19 05:18:15+00:00,140364,2800,0,66,2019-09-19
KdgQvgE3ji4,Data Science in 8 Minutes | Data Science for Beginners | What is Data Science? | Edureka,edureka!,2019-03-31 10:23:01+00:00,417587,8920,0,69,2019-03-31
8vmKtS8W7IQ,Complete Dockers For Data Science Tutorial In One Shot,Krish Naik,2023-03-29 13:02:23+00:00,171762,3549,0,106,2023-03-29
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Simplilearn,2018-12-04 14:30:01+00:00,4460829,62475,0,1101,2018-12-04
lGToag98-8k,Data Science Full Course (2025) | Data Science Tutorial For Beginners | Intellipaat,Intellipaat,2025-07-14 14:06:56+00:00,7966,278,0,12,2025-07-14
RBSUwFGa6Fk,What is Data Science?,IBM Technology,2022-06-13 12:00:14+00:00,894017,18640,0,317,2022-06-13
Vqn1Vn9Pzr4,Data Analyst or Data Scientist?,codebasics,2023-11-20 12:30:15+00:00,145480,4187,0,38,2023-11-20
I7NrVwm3apg,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Algorithms | Simplilearn,Simplilearn,2018-03-21 14:01:21+00:00,450939,7107,0,1518,2018-03-21
XtYpxjTawVE,ðŸ”¥DO THIS to Become a Data Scientist in 2025 [Tips From a Sr. Data Scientist] | Intellipaat #Shorts,Intellipaat,2025-03-17 12:30:28+00:00,142199,5659,0,14,2025-03-17
JIbfzmt2LuY,How to learn Data Science? In Short,Apna College,2023-10-19 15:41:19+00:00,1298253,84059,0,271,2023-10-19
